Date [dd/mm/yyyy], Prompt E [MeV],  Prompt x [m],  Prompt y [m],  Prompt z [m],  Delayed E [MeV],  Delayed x [m],  Delayed y [m],  Delayed z [m],  Delta_t [us],  Delta_r [cm], Prompt Classifier Value
14/12/2023,3.24674,-4.73597,3.12404,-0.09639,2.0518,-4.40407,2.95037,0.24781,10.44,50.8723,0.44011
18/12/2023,4.43865,-1.11884,0.1849,-1.17461,2.17141,-0.9232,-0.00022,-1.57516,161.24,48.2693, -
18/12/2023,2.36581,1.93537,4.49691,2.22749,2.25172,1.99305,4.8399,1.39807,7.96,89.939,-3.00167
22/12/2023,2.34662,-0.83056,-0.84404,-4.63279,2.16943,-0.62571,-0.4643,-4.05682,93.22,71.9658,2.92936
22/12/2023,2.90035,1.62483,2.3136,0.18289,2.01854,2.99897,3.35113,-0.26225,22.42,177.845,4.52167
10/01/2024,2.17047,-0.18853,-3.00204,4.50641,1.97921,0.03933,-2.74559,4.15311,23.72,49.2447,1.07662
10/01/2024,1.34644,1.04127,-0.76145,-1.16033,2.12064,1.10783,-1.49521,-1.45787,128.2,79.458,2.46044
11/01/2024,5.51503,1.9975,0.3199,1.39219,2.00041,1.68883,0.14817,1.43289,18.72,35.5561, -
12/01/2024,2.16644,4.03635,0.32055,-0.62639,2.22902,4.20312,0.6804,-0.78962,408.96,42.8891,-1.42629
15/01/2024,1.68104,-1.04209,4.77901,-0.06713,1.94014,-1.43559,5.17054,-1.3789,576.02,142.439,2.29686
16/01/2024,2.27027,2.10065,-3.2858,-1.55142,2.09648,1.9629,-3.50216,-1.83721,143.88,38.4007,-0.78701
20/01/2024,1.39081,-2.36036,-0.95223,-2.37487,2.27098,-2.41965,-1.17962,-2.4448,82.96,24.5169,1.1348
22/01/2024,4.13093,-2.2682,-0.64115,2.62051,2.16492,-2.41219,-0.47303,2.3647,7.7,33.8282, -
23/01/2024,1.25923,-3.62653,2.53035,2.0404,2.22955,-3.99691,2.21272,1.42232,381.98,78.7462,-4.46436
23/01/2024,5.7187,2.23437,2.59524,-3.93307,2.10258,2.07404,1.83302,-4.2404,48.84,83.7337, -
24/01/2024,1.16488,-1.51831,-2.98525,-2.21145,2.1854,-1.34287,-3.2193,-2.30147,87.92,30.6048,1.14195
28/01/2024,1.67952,-1.52595,-2.20055,-3.05057,2.11228,-1.05389,-1.97978,-2.96185,65.1,52.8632,2.14208
29/01/2024,6.5237,1.08617,0.89121,2.90705,1.98646,0.98428,0.92785,3.06066,43.16,18.7938, -
