x deltamsqr21 sinsqrtheta12 geoNuUThRatio geoNuScale alphaNscale_GS alphaNscale_ES reactorScale AtmosScale alphaPScale linScale-I kBp-I linScale_P-I sigPerSqrtE-I linScale-II kBp-II linScale_P-II sigPerSqrtE-II
deltamsqr21 1.0 0.105 0.007 -0.158 0.107 0.068 -0.029 0.056 0.083 -0.135 0.143 0.005 -0.0 -0.233 0.275 -0.03 -0.0
sinsqrtheta12 0.105 1.0 -0.015 -0.112 -0.058 -0.031 -0.091 -0.034 -0.039 -0.023 0.018 -0.006 0.0 0.001 -0.013 -0.016 0.0
geoNuUThRatio 0.007 -0.015 1.0 0.03 0.004 0.004 -0.006 0.007 -0.067 -0.025 0.017 -0.027 -0.0 -0.04 0.027 -0.027 -0.0
geoNuScale -0.158 -0.112 0.03 1.0 -0.765 -0.016 0.063 -0.02 -0.025 0.056 -0.051 0.096 0.0 0.146 -0.128 0.091 0.0
alphaNscale_GS 0.107 -0.058 0.004 -0.765 1.0 0.021 -0.108 -0.011 -0.152 0.001 -0.003 -0.077 -0.0 -0.113 0.1 -0.06 -0.0
alphaNscale_ES 0.068 -0.031 0.004 -0.016 0.021 1.0 -0.063 -0.061 0.01 -0.039 0.066 0.003 -0.0 -0.03 0.047 0.0 -0.0
reactorScale -0.029 -0.091 -0.006 0.063 -0.108 -0.063 1.0 -0.043 -0.042 -0.014 0.005 -0.006 -0.0 0.0 -0.006 -0.017 -0.0
AtmosScale 0.056 -0.034 0.007 -0.02 -0.011 -0.061 -0.043 1.0 -0.003 -0.105 0.137 0.006 0.0 -0.063 0.085 -0.003 0.0
alphaPScale 0.083 -0.039 -0.067 -0.025 -0.152 0.01 -0.042 -0.003 1.0 -0.005 -0.003 -0.034 0.0 -0.011 0.006 -0.041 0.0
linScale-I -0.135 -0.023 -0.025 0.056 0.001 -0.039 -0.014 -0.105 -0.005 1.0 -0.364 -0.042 -0.0 0.042 -0.049 0.008 -0.0
kBp-I 0.143 0.018 0.017 -0.051 -0.003 0.066 0.005 0.137 -0.003 -0.364 1.0 0.034 0.0 -0.045 0.053 -0.007 0.0
linScale_P-I 0.005 -0.006 -0.027 0.096 -0.077 0.003 -0.006 0.006 -0.034 -0.042 0.034 1.0 -0.0 0.01 -0.007 0.011 -0.0
sigPerSqrtE-I -0.0 0.0 -0.0 0.0 -0.0 -0.0 -0.0 0.0 0.0 -0.0 0.0 -0.0 1.0 0.0 -0.0 0.0 0.0
linScale-II -0.233 0.001 -0.04 0.146 -0.113 -0.03 0.0 -0.063 -0.011 0.042 -0.045 0.01 0.0 1.0 -0.248 -0.015 0.0
kBp-II 0.275 -0.013 0.027 -0.128 0.1 0.047 -0.006 0.085 0.006 -0.049 0.053 -0.007 -0.0 -0.248 1.0 0.003 -0.0
linScale_P-II -0.03 -0.016 -0.027 0.091 -0.06 0.0 -0.017 -0.003 -0.041 0.008 -0.007 0.011 0.0 -0.015 0.003 1.0 0.0
sigPerSqrtE-II -0.0 0.0 -0.0 0.0 -0.0 -0.0 -0.0 0.0 0.0 -0.0 0.0 -0.0 0.0 0.0 -0.0 0.0 1.0
