x deltamsqr21 sinsqrtheta12 geoNuUThRatio geoNuScale alphaNscale_GS alphaNscale_ES reactorScale AtmosScale alphaPScale linScale-I kBp-I linScale_P-I sigPerSqrtE-I linScale-II kBp-II linScale_P-II sigPerSqrtE-II
deltamsqr21 1.0 0.022 0.005 0.04 -0.036 0.033 -0.005 0.003 0.052 -0.006 -0.007 0.003 -0.0 -0.002 0.027 -0.014 -0.0
sinsqrtheta12 0.022 1.0 0.007 0.043 0.027 0.015 0.055 0.014 0.016 0.007 -0.002 0.002 -0.0 0.008 -0.003 0.007 0.0
geoNuUThRatio 0.005 0.007 1.0 0.03 0.008 0.003 -0.011 0.003 -0.069 -0.019 0.004 -0.027 0.0 -0.034 0.014 -0.027 -0.0
geoNuScale 0.04 0.043 0.03 1.0 -0.776 -0.006 0.049 -0.01 -0.01 0.02 -0.012 0.103 0.0 0.098 -0.06 0.082 0.001
alphaNscale_GS -0.036 0.027 0.008 -0.776 1.0 0.01 -0.114 -0.017 -0.162 0.011 -0.007 -0.087 -0.0 -0.07 0.041 -0.061 -0.001
alphaNscale_ES 0.033 0.015 0.003 -0.006 0.01 1.0 -0.072 -0.068 0.006 -0.042 0.056 0.003 -0.0 -0.016 0.01 0.001 0.002
reactorScale -0.005 0.055 -0.011 0.049 -0.114 -0.072 1.0 -0.043 -0.05 -0.015 -0.0 -0.006 0.0 -0.009 0.001 -0.016 -0.0
AtmosScale 0.003 0.014 0.003 -0.01 -0.017 -0.068 -0.043 1.0 -0.007 -0.031 0.058 0.002 -0.0 -0.03 0.058 -0.002 -0.0
alphaPScale 0.052 0.016 -0.069 -0.01 -0.162 0.006 -0.05 -0.007 1.0 -0.002 -0.01 -0.025 0.0 0.007 -0.015 -0.031 -0.0
linScale-I -0.006 0.007 -0.019 0.02 0.011 -0.042 -0.015 -0.031 -0.002 1.0 0.131 -0.038 -0.0 0.005 -0.005 0.003 -0.0
kBp-I -0.007 -0.002 0.004 -0.012 -0.007 0.056 -0.0 0.058 -0.01 0.131 1.0 0.018 -0.0 -0.004 0.005 -0.001 0.0
linScale_P-I 0.003 0.002 -0.027 0.103 -0.087 0.003 -0.006 0.002 -0.025 -0.038 0.018 1.0 0.0 0.011 -0.006 0.011 0.0
sigPerSqrtE-I -0.0 -0.0 0.0 0.0 -0.0 -0.0 0.0 -0.0 0.0 -0.0 -0.0 0.0 1.0 0.0 -0.0 0.0 -0.0
linScale-II -0.002 0.008 -0.034 0.098 -0.07 -0.016 -0.009 -0.03 0.007 0.005 -0.004 0.011 0.0 1.0 0.074 -0.01 0.001
kBp-II 0.027 -0.003 0.014 -0.06 0.041 0.01 0.001 0.058 -0.015 -0.005 0.005 -0.006 -0.0 0.074 1.0 -0.001 0.005
linScale_P-II -0.014 0.007 -0.027 0.082 -0.061 0.001 -0.016 -0.002 -0.031 0.003 -0.001 0.011 0.0 -0.01 -0.001 1.0 0.0
sigPerSqrtE-II -0.0 0.0 -0.0 0.001 -0.001 0.002 -0.0 -0.0 -0.0 -0.0 0.0 0.0 -0.0 0.001 0.005 0.0 1.0
