x deltamsqr21 sinsqrtheta12 geoNuUThRatio geoNuScale alphaNscale_GS alphaNscale_ES reactorScale AtmosScale alphaPScale linScale-I kBp-I linScale_P-I sigPerSqrtE-I classIBD_scale-I classAlphaN_cubicScale-I linScale-II kBp-II linScale_P-II sigPerSqrtE-II classIBD_scale-II classAlphaN_cubicScale-II
deltamsqr21 1.0 0.016 0.011 0.057 -0.02 0.032 -0.018 0.007 0.052 0.038 -0.04 -0.003 0.0 -0.014 -0.02 -0.012 0.03 -0.002 -0.0 -0.031 -0.004
sinsqrtheta12 0.016 1.0 0.005 0.082 0.018 0.014 0.057 0.01 0.02 0.009 -0.005 0.004 0.0 0.002 -0.007 0.006 0.0 0.002 0.0 0.011 0.003
geoNuUThRatio 0.011 0.005 1.0 0.066 0.006 0.002 -0.008 0.004 -0.057 -0.01 0.005 -0.014 -0.0 0.003 0.043 -0.03 0.006 -0.006 0.0 -0.009 -0.003
geoNuScale 0.057 0.082 0.066 1.0 -0.277 0.004 -0.033 -0.007 -0.143 0.028 -0.016 0.037 0.0 -0.018 0.129 0.081 -0.036 0.025 0.0 -0.126 -0.046
alphaNscale_GS -0.02 0.018 0.006 -0.277 1.0 0.005 -0.06 -0.009 -0.069 0.017 -0.017 -0.037 -0.0 -0.043 0.258 -0.037 0.037 -0.007 -0.0 0.022 -0.033
alphaNscale_ES 0.032 0.014 0.002 0.004 0.005 1.0 -0.072 -0.07 0.007 -0.021 0.01 0.001 -0.0 0.001 -0.001 -0.012 -0.004 0.0 0.0 0.003 0.001
reactorScale -0.018 0.057 -0.008 -0.033 -0.06 -0.072 1.0 -0.035 -0.065 -0.014 0.005 -0.014 0.0 -0.011 0.017 -0.014 -0.0 -0.003 -0.0 -0.045 -0.011
AtmosScale 0.007 0.01 0.004 -0.007 -0.009 -0.07 -0.035 1.0 0.001 -0.087 0.124 0.0 0.0 0.001 0.003 -0.025 0.048 -0.001 0.0 0.002 0.001
alphaPScale 0.052 0.02 -0.057 -0.143 -0.069 0.007 -0.065 0.001 1.0 -0.0 -0.006 -0.028 0.0 -0.012 0.127 0.013 -0.02 -0.005 -0.0 -0.034 -0.018
linScale-I 0.038 0.009 -0.01 0.028 0.017 -0.021 -0.014 -0.087 -0.0 1.0 -0.075 -0.006 -0.0 -0.006 -0.024 0.004 -0.003 0.001 -0.0 -0.004 -0.002
kBp-I -0.04 -0.005 0.005 -0.016 -0.017 0.01 0.005 0.124 -0.006 -0.075 1.0 -0.006 0.0 0.004 0.029 -0.004 0.005 -0.0 0.0 0.003 0.002
linScale_P-I -0.003 0.004 -0.014 0.037 -0.037 0.001 -0.014 0.0 -0.028 -0.006 -0.006 1.0 -0.0 -0.008 0.02 0.004 -0.002 0.001 0.0 -0.002 0.001
sigPerSqrtE-I 0.0 0.0 -0.0 0.0 -0.0 -0.0 0.0 0.0 0.0 -0.0 0.0 -0.0 1.0 -0.0 -0.0 0.0 0.0 -0.0 0.0 0.0 -0.0
classIBD_scale-I -0.014 0.002 0.003 -0.018 -0.043 0.001 -0.011 0.001 -0.012 -0.006 0.004 -0.008 -0.0 1.0 0.05 -0.001 -0.001 -0.0 -0.0 0.005 0.004
classAlphaN_cubicScale-I -0.02 -0.007 0.043 0.129 0.258 -0.001 0.017 0.003 0.127 -0.024 0.029 0.02 -0.0 0.05 1.0 0.008 -0.001 0.003 0.0 -0.034 -0.027
linScale-II -0.012 0.006 -0.03 0.081 -0.037 -0.012 -0.014 -0.025 0.013 0.004 -0.004 0.004 0.0 -0.001 0.008 1.0 0.229 0.005 -0.0 -0.002 -0.005
kBp-II 0.03 0.0 0.006 -0.036 0.037 -0.004 -0.0 0.048 -0.02 -0.003 0.005 -0.002 0.0 -0.001 -0.001 0.229 1.0 -0.009 -0.0 -0.005 -0.002
linScale_P-II -0.002 0.002 -0.006 0.025 -0.007 0.0 -0.003 -0.001 -0.005 0.001 -0.0 0.001 -0.0 -0.0 0.003 0.005 -0.009 1.0 0.0 -0.001 -0.014
sigPerSqrtE-II -0.0 0.0 0.0 0.0 -0.0 0.0 -0.0 0.0 -0.0 -0.0 0.0 0.0 0.0 -0.0 0.0 -0.0 -0.0 0.0 1.0 -0.0 -0.0
classIBD_scale-II -0.031 0.011 -0.009 -0.126 0.022 0.003 -0.045 0.002 -0.034 -0.004 0.003 -0.002 0.0 0.005 -0.034 -0.002 -0.005 -0.001 -0.0 1.0 -0.012
classAlphaN_cubicScale-II -0.004 0.003 -0.003 -0.046 -0.033 0.001 -0.011 0.001 -0.018 -0.002 0.002 0.001 -0.0 0.004 -0.027 -0.005 -0.002 -0.014 -0.0 -0.012 1.0
