# SampleName                                   LogP_lo   LogP_hi   CosZ_lo   CosZ_hi
sk1-3_fc_subgev_1ring_elike_0decaye               2.00      2.40     -1.00     -0.84
sk1-3_fc_subgev_1ring_elike_0decaye               2.00      2.40     -0.84     -0.64
sk1-3_fc_subgev_1ring_elike_0decaye               2.00      2.40     -0.64     -0.45
sk1-3_fc_subgev_1ring_elike_0decaye               2.00      2.40     -0.45     -0.22
sk1-3_fc_subgev_1ring_elike_0decaye               2.00      2.40     -0.22      0.00
sk1-3_fc_subgev_1ring_elike_0decaye               2.00      2.40      0.00      0.22
sk1-3_fc_subgev_1ring_elike_0decaye               2.00      2.40      0.22      0.45
sk1-3_fc_subgev_1ring_elike_0decaye               2.00      2.40      0.45      0.64
sk1-3_fc_subgev_1ring_elike_0decaye               2.00      2.40      0.64      0.84
sk1-3_fc_subgev_1ring_elike_0decaye               2.00      2.40      0.84      1.00
sk1-3_fc_subgev_1ring_elike_0decaye               2.40      2.60     -1.00     -0.84
sk1-3_fc_subgev_1ring_elike_0decaye               2.40      2.60     -0.84     -0.64
sk1-3_fc_subgev_1ring_elike_0decaye               2.40      2.60     -0.64     -0.45
sk1-3_fc_subgev_1ring_elike_0decaye               2.40      2.60     -0.45     -0.22
sk1-3_fc_subgev_1ring_elike_0decaye               2.40      2.60     -0.22      0.00
sk1-3_fc_subgev_1ring_elike_0decaye               2.40      2.60      0.00      0.22
sk1-3_fc_subgev_1ring_elike_0decaye               2.40      2.60      0.22      0.45
sk1-3_fc_subgev_1ring_elike_0decaye               2.40      2.60      0.45      0.64
sk1-3_fc_subgev_1ring_elike_0decaye               2.40      2.60      0.64      0.84
sk1-3_fc_subgev_1ring_elike_0decaye               2.40      2.60      0.84      1.00
sk1-3_fc_subgev_1ring_elike_0decaye               2.60      2.80     -1.00     -0.84
sk1-3_fc_subgev_1ring_elike_0decaye               2.60      2.80     -0.84     -0.64
sk1-3_fc_subgev_1ring_elike_0decaye               2.60      2.80     -0.64     -0.45
sk1-3_fc_subgev_1ring_elike_0decaye               2.60      2.80     -0.45     -0.22
sk1-3_fc_subgev_1ring_elike_0decaye               2.60      2.80     -0.22      0.00
sk1-3_fc_subgev_1ring_elike_0decaye               2.60      2.80      0.00      0.22
sk1-3_fc_subgev_1ring_elike_0decaye               2.60      2.80      0.22      0.45
sk1-3_fc_subgev_1ring_elike_0decaye               2.60      2.80      0.45      0.64
sk1-3_fc_subgev_1ring_elike_0decaye               2.60      2.80      0.64      0.84
sk1-3_fc_subgev_1ring_elike_0decaye               2.60      2.80      0.84      1.00
sk1-3_fc_subgev_1ring_elike_0decaye               2.80      3.00     -1.00     -0.84
sk1-3_fc_subgev_1ring_elike_0decaye               2.80      3.00     -0.84     -0.64
sk1-3_fc_subgev_1ring_elike_0decaye               2.80      3.00     -0.64     -0.45
sk1-3_fc_subgev_1ring_elike_0decaye               2.80      3.00     -0.45     -0.22
sk1-3_fc_subgev_1ring_elike_0decaye               2.80      3.00     -0.22      0.00
sk1-3_fc_subgev_1ring_elike_0decaye               2.80      3.00      0.00      0.22
sk1-3_fc_subgev_1ring_elike_0decaye               2.80      3.00      0.22      0.45
sk1-3_fc_subgev_1ring_elike_0decaye               2.80      3.00      0.45      0.64
sk1-3_fc_subgev_1ring_elike_0decaye               2.80      3.00      0.64      0.84
sk1-3_fc_subgev_1ring_elike_0decaye               2.80      3.00      0.84      1.00
sk1-3_fc_subgev_1ring_elike_0decaye               3.00      3.20     -1.00     -0.84
sk1-3_fc_subgev_1ring_elike_0decaye               3.00      3.20     -0.84     -0.64
sk1-3_fc_subgev_1ring_elike_0decaye               3.00      3.20     -0.64     -0.45
sk1-3_fc_subgev_1ring_elike_0decaye               3.00      3.20     -0.45     -0.22
sk1-3_fc_subgev_1ring_elike_0decaye               3.00      3.20     -0.22      0.00
sk1-3_fc_subgev_1ring_elike_0decaye               3.00      3.20      0.00      0.22
sk1-3_fc_subgev_1ring_elike_0decaye               3.00      3.20      0.22      0.45
sk1-3_fc_subgev_1ring_elike_0decaye               3.00      3.20      0.45      0.64
sk1-3_fc_subgev_1ring_elike_0decaye               3.00      3.20      0.64      0.84
sk1-3_fc_subgev_1ring_elike_0decaye               3.00      3.20      0.84      1.00
sk1-3_fc_subgev_1ring_elike_1decaye               2.00      2.40     -1.00      1.00
sk1-3_fc_subgev_1ring_elike_1decaye               2.40      2.60     -1.00      1.00
sk1-3_fc_subgev_1ring_elike_1decaye               2.60      2.80     -1.00      1.00
sk1-3_fc_subgev_1ring_elike_1decaye               2.80      3.00     -1.00      1.00
sk1-3_fc_subgev_1ring_elike_1decaye               3.00      3.20     -1.00      1.00
sk1-5_fc_1ring_ncpi0                              2.00      2.40     -1.00      1.00
sk1-5_fc_1ring_ncpi0                              2.40      2.60     -1.00      1.00
sk1-5_fc_1ring_ncpi0                              2.60      2.80     -1.00      1.00
sk1-5_fc_1ring_ncpi0                              2.80      3.00     -1.00      1.00
sk1-5_fc_1ring_ncpi0                              3.00      3.20     -1.00      1.00
sk1-3_fc_subgev_1ring_mulike_0decaye              2.00      2.40     -1.00     -0.84
sk1-3_fc_subgev_1ring_mulike_0decaye              2.00      2.40     -0.84     -0.64
sk1-3_fc_subgev_1ring_mulike_0decaye              2.00      2.40     -0.64     -0.45
sk1-3_fc_subgev_1ring_mulike_0decaye              2.00      2.40     -0.45     -0.22
sk1-3_fc_subgev_1ring_mulike_0decaye              2.00      2.40     -0.22      0.00
sk1-3_fc_subgev_1ring_mulike_0decaye              2.00      2.40      0.00      0.22
sk1-3_fc_subgev_1ring_mulike_0decaye              2.00      2.40      0.22      0.45
sk1-3_fc_subgev_1ring_mulike_0decaye              2.00      2.40      0.45      0.64
sk1-3_fc_subgev_1ring_mulike_0decaye              2.00      2.40      0.64      0.84
sk1-3_fc_subgev_1ring_mulike_0decaye              2.00      2.40      0.84      1.00
sk1-3_fc_subgev_1ring_mulike_0decaye              2.40      2.60     -1.00     -0.84
sk1-3_fc_subgev_1ring_mulike_0decaye              2.40      2.60     -0.84     -0.64
sk1-3_fc_subgev_1ring_mulike_0decaye              2.40      2.60     -0.64     -0.45
sk1-3_fc_subgev_1ring_mulike_0decaye              2.40      2.60     -0.45     -0.22
sk1-3_fc_subgev_1ring_mulike_0decaye              2.40      2.60     -0.22      0.00
sk1-3_fc_subgev_1ring_mulike_0decaye              2.40      2.60      0.00      0.22
sk1-3_fc_subgev_1ring_mulike_0decaye              2.40      2.60      0.22      0.45
sk1-3_fc_subgev_1ring_mulike_0decaye              2.40      2.60      0.45      0.64
sk1-3_fc_subgev_1ring_mulike_0decaye              2.40      2.60      0.64      0.84
sk1-3_fc_subgev_1ring_mulike_0decaye              2.40      2.60      0.84      1.00
sk1-3_fc_subgev_1ring_mulike_0decaye              2.60      2.80     -1.00     -0.84
sk1-3_fc_subgev_1ring_mulike_0decaye              2.60      2.80     -0.84     -0.64
sk1-3_fc_subgev_1ring_mulike_0decaye              2.60      2.80     -0.64     -0.45
sk1-3_fc_subgev_1ring_mulike_0decaye              2.60      2.80     -0.45     -0.22
sk1-3_fc_subgev_1ring_mulike_0decaye              2.60      2.80     -0.22      0.00
sk1-3_fc_subgev_1ring_mulike_0decaye              2.60      2.80      0.00      0.22
sk1-3_fc_subgev_1ring_mulike_0decaye              2.60      2.80      0.22      0.45
sk1-3_fc_subgev_1ring_mulike_0decaye              2.60      2.80      0.45      0.64
sk1-3_fc_subgev_1ring_mulike_0decaye              2.60      2.80      0.64      0.84
sk1-3_fc_subgev_1ring_mulike_0decaye              2.60      2.80      0.84      1.00
sk1-3_fc_subgev_1ring_mulike_0decaye              2.80      3.00     -1.00     -0.84
