event_id,detector,t_s,E_MeV,sigma_E_MeV,theta_deg,detector_start_UT,notes
1,Kamiokande-II,0.0,20.0,2.9,18,7:35:35 UT 23-Feb-1987,Hirata+1987 PRl58:1490
2,Kamiokande-II,0.107,13.5,3.2,40,7:35:35 UT 23-Feb-1987,Hirata+1987 PRl58:1490
3,Kamiokande-II,0.303,7.5,2.0,108,7:35:35 UT 23-Feb-1987,Hirata+1987 PRl58:1490
4,Kamiokande-II,0.324,9.2,2.7,70,7:35:35 UT 23-Feb-1987,Hirata+1987 PRl58:1490
5,Kamiokande-II,0.507,12.8,2.9,135,7:35:35 UT 23-Feb-1987,Hirata+1987 PRl58:1490
6,Kamiokande-II,1.541,35.4,8.0,32,7:35:35 UT 23-Feb-1987,Hirata+1987 PRl58:1490
7,Kamiokande-II,1.728,21.0,4.2,30,7:35:35 UT 23-Feb-1987,Hirata+1987 PRl58:1490
8,Kamiokande-II,1.915,19.8,3.2,38,7:35:35 UT 23-Feb-1987,Hirata+1987 PRl58:1490
9,Kamiokande-II,9.219,8.6,2.7,122,7:35:35 UT 23-Feb-1987,Hirata+1987 PRl58:1490
10,Kamiokande-II,10.433,13.0,2.6,49,7:35:35 UT 23-Feb-1987,Hirata+1987 PRl58:1490
11,Kamiokande-II,12.439,8.9,1.9,91,7:35:35 UT 23-Feb-1987,Hirata+1987 PRl58:1490
12,IMB,0.0,38,7,80,7:35:41 UT 23-Feb-1987,Bionta+1987 PRL58:1494
13,IMB,0.412,37,7,44,7:35:41 UT 23-Feb-1987,Bionta+1987 PRL58:1494
14,IMB,0.65,28,6,56,7:35:41 UT 23-Feb-1987,Bionta+1987 PRL58:1494
15,IMB,1.141,39,7,65,7:35:41 UT 23-Feb-1987,Bionta+1987 PRL58:1494
16,IMB,1.562,36,9,33,7:35:41 UT 23-Feb-1987,Bionta+1987 PRL58:1494
17,IMB,2.684,36,6,52,7:35:41 UT 23-Feb-1987,Bionta+1987 PRL58:1494
18,IMB,5.01,19,5,42,7:35:41 UT 23-Feb-1987,Bionta+1987 PRL58:1494
19,IMB,5.582,22,5,104,7:35:41 UT 23-Feb-1987,Bionta+1987 PRL58:1494
20,Baksan,0.0,12.0,2.4,,7:36:11.818 UT 23-Feb-1987,Alekseev+1988 PLB205:209
21,Baksan,0.435,17.9,3.6,,7:36:11.818 UT 23-Feb-1987,Alekseev+1988 PLB205:209
22,Baksan,1.71,23.5,4.7,,7:36:11.818 UT 23-Feb-1987,Alekseev+1988 PLB205:209
23,Baksan,7.687,17.6,3.5,,7:36:11.818 UT 23-Feb-1987,Alekseev+1988 PLB205:209
24,Baksan,9.099,20.3,4.1,,7:36:11.818 UT 23-Feb-1987,Alekseev+1988 PLB205:209
